id,species,location_type,location_coordinates_0,location_coordinates_1
4c992cf0-aaf3-4524-9225-c0c43feb98a4,FUNESTUS COMPLEX,Point,-15.934,15.983
4e4ee004-9872-4973-b4c4-4831045e6dd0,FUNESTUS COMPLEX,Point,37.45,-0.5667
4e726c64-97cf-4442-a40b-0e259f24dc6a,FUNESTUS COMPLEX,Point,34.7991,-0.5794
4fb886bd-a17a-4074-8753-c100c24f2cea,FUNESTUS COMPLEX,Point,34.7167,-0.8667
509909ec-6687-47b5-9ddc-8ef762238127,FUNESTUS COMPLEX,Point,34.7991,-0.5794
5189e7f6-b468-477e-87d7-9207bc63729c,FUNESTUS COMPLEX,Point,34.5167,-0.1
52367ee2-3f79-4713-86f2-5d5662488151,FUNESTUS COMPLEX,Point,37.317,-0.667
52cee3e0-6778-428f-af21-68abf8492136,FUNESTUS COMPLEX,Point,32.6336,-25.9169
549b2311-12e9-4744-957b-bfc7bf1a5244,FUNESTUS COMPLEX,Point,34.205,-0.418
550db419-a260-4481-bb29-6a9029686796,FUNESTUS COMPLEX,Point,46.2167,-19.3833
55ebd474-220c-41c5-9b6a-f52e8c0d525d,FUNESTUS COMPLEX,Point,8.75,3.75
56504cbe-4739-4819-857f-d0c2e7b77064,FUNESTUS COMPLEX,Point,46.2167,-19.3833
56d90766-c3e0-4400-89e3-db89c83de9a8,FUNESTUS COMPLEX,Point,32.315,-26.033
5794bbe3-6bda-4a35-8917-cdbc635752a2,FUNESTUS COMPLEX,Point,-1.659,6.194
5918eed3-4291-489c-8664-0abe2688ebc3,FUNESTUS COMPLEX,Point,46.2727,-19.243
5b00cba4-7120-41d6-b95c-1a65f5c63543,FUNESTUS COMPLEX,Point,34.916,-0.182
5b56373e-74fe-4e8c-ade5-73b18efaca0e,FUNESTUS COMPLEX,Point,33.531,-24.68
5badc926-e22d-42d9-905e-328b9fee966f,FUNESTUS COMPLEX,Point,34.7167,0.0833
5e3d9a2d-c1b0-48d5-8edd-5203dce24060,FUNESTUS COMPLEX,Point,32.616,-25.883
5f019379-2e73-4a83-ab42-3365e1e1dbbb,FUNESTUS COMPLEX,Point,3.733,6.934
60ec94d2-c3ab-4efd-b2b1-5ed113cdeead,FUNESTUS COMPLEX,Point,46.349,-19.133
